"id";"fecha";"core_empresa_id";"core_tercero_id";"codigo_referencia_tercero";"core_tipo_transaccion_id";"core_tipo_doc_app_id";"consecutivo";"teso_motivo_id";"teso_caja_id";"teso_cuenta_bancaria_id";"valor_movimiento";"documento_soporte";"descripcion";"estado";"creado_por";"modificado_por";"created_at";"updated_at"
"86948";"2021-06-02";"1";"24";;"47";"18";"80627";"1";"2";"0";"16150";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:35";"2021-06-02 12:56:35"
"86949";"2021-06-02";"1";"24";;"47";"18";"80628";"1";"2";"0";"7085";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:35";"2021-06-02 12:56:35"
"86950";"2021-06-02";"1";"24";;"47";"18";"80629";"1";"2";"0";"6870";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:35";"2021-06-02 12:56:35"
"86951";"2021-06-02";"1";"24";;"47";"18";"80630";"1";"2";"0";"5800";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:36";"2021-06-02 12:56:36"
"86952";"2021-06-02";"1";"24";;"47";"18";"80631";"1";"2";"0";"19195";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:36";"2021-06-02 12:56:36"
"86953";"2021-06-02";"1";"24";;"47";"18";"80632";"1";"2";"0";"13828";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:36";"2021-06-02 12:56:36"
"86954";"2021-06-02";"1";"24";;"47";"18";"80633";"1";"2";"0";"20568";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:36";"2021-06-02 12:56:36"
"86955";"2021-06-02";"1";"24";;"47";"18";"80634";"1";"2";"0";"40143";;"Yuli";"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:37";"2021-06-02 12:56:37"
"86956";"2021-06-02";"1";"24";;"47";"18";"80635";"1";"2";"0";"35044";;"suegro";"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:37";"2021-06-02 12:56:37"
"86957";"2021-06-02";"1";"1191";;"47";"18";"80636";"1";"2";"0";"48430";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:37";"2021-06-02 12:56:37"
"86958";"2021-06-02";"1";"24";;"47";"18";"80637";"1";"2";"0";"36242";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:37";"2021-06-02 12:56:37"
"86959";"2021-06-02";"1";"24";;"47";"18";"80638";"1";"2";"0";"7980";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:38";"2021-06-02 12:56:38"
"86960";"2021-06-02";"1";"24";;"47";"18";"80639";"1";"2";"0";"59930";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:38";"2021-06-02 12:56:38"
"86961";"2021-06-02";"1";"24";;"47";"18";"80640";"1";"2";"0";"34948";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:38";"2021-06-02 12:56:38"
"86962";"2021-06-02";"1";"24";;"47";"18";"80641";"1";"2";"0";"50680";;"sñr alcides";"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:38";"2021-06-02 12:56:38"
"86963";"2021-06-02";"1";"24";;"47";"18";"80642";"1";"2";"0";"37000";;;"Activo";"yeselith.almanza@avipoulet.com";"yeselith.almanza@avipoulet.com";"2021-06-02 12:56:39";"2021-06-02 12:56:39"
"86964";"2021-06-02";"1";"24";;"47";"18";"80643";"1";"2";"0";"20485";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:39";"2021-06-02 12:56:39"
"86965";"2021-06-02";"1";"24";;"47";"18";"80644";"1";"2";"0";"12926";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:39";"2021-06-02 12:56:39"
"86966";"2021-06-02";"1";"24";;"47";"18";"80645";"1";"2";"0";"3500";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:39";"2021-06-02 12:56:39"
"86967";"2021-06-02";"1";"24";;"47";"18";"80646";"1";"2";"0";"72811";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:40";"2021-06-02 12:56:40"
"86968";"2021-06-02";"1";"24";;"47";"18";"80647";"1";"2";"0";"14420";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:40";"2021-06-02 12:56:40"
"86969";"2021-06-02";"1";"24";;"47";"18";"80648";"1";"2";"0";"49960";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:40";"2021-06-02 12:56:40"
"86970";"2021-06-02";"1";"24";;"47";"18";"80649";"1";"2";"0";"9919";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:40";"2021-06-02 12:56:40"
"86971";"2021-06-02";"1";"24";;"47";"18";"80650";"1";"2";"0";"6160";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:40";"2021-06-02 12:56:40"
"86972";"2021-06-02";"1";"24";;"47";"18";"80651";"1";"2";"0";"17338";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:41";"2021-06-02 12:56:41"
"86973";"2021-06-02";"1";"24";;"47";"18";"80652";"1";"2";"0";"31400";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:41";"2021-06-02 12:56:41"
"86974";"2021-06-02";"1";"24";;"47";"18";"80653";"1";"2";"0";"20334";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:41";"2021-06-02 12:56:41"
"86975";"2021-06-02";"1";"24";;"47";"18";"80654";"1";"2";"0";"21280";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:41";"2021-06-02 12:56:41"
"86976";"2021-06-02";"1";"24";;"47";"18";"80655";"1";"2";"0";"12445";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:42";"2021-06-02 12:56:42"
"86977";"2021-06-02";"1";"24";;"47";"18";"80656";"1";"2";"0";"7920";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:42";"2021-06-02 12:56:42"
"86978";"2021-06-02";"1";"24";;"47";"18";"80658";"1";"2";"0";"12499";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:42";"2021-06-02 12:56:42"
"86979";"2021-06-02";"1";"24";;"47";"18";"80659";"1";"2";"0";"14175";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:43";"2021-06-02 12:56:43"
"86980";"2021-06-02";"1";"24";;"47";"18";"80660";"1";"2";"0";"3500";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:43";"2021-06-02 12:56:43"
"86981";"2021-06-02";"1";"24";;"47";"18";"80661";"1";"2";"0";"16073";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:43";"2021-06-02 12:56:43"
"86982";"2021-06-02";"1";"24";;"47";"18";"80662";"1";"2";"0";"22183";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:43";"2021-06-02 12:56:43"
"86983";"2021-06-02";"1";"24";;"47";"18";"80663";"1";"2";"0";"17955";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:43";"2021-06-02 12:56:43"
"86984";"2021-06-02";"1";"24";;"47";"18";"80664";"1";"2";"0";"4800";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:44";"2021-06-02 12:56:44"
"86985";"2021-06-02";"1";"24";;"47";"18";"80665";"1";"2";"0";"13080";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:44";"2021-06-02 12:56:44"
"86986";"2021-06-02";"1";"24";;"47";"18";"80666";"1";"2";"0";"20783";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:44";"2021-06-02 12:56:44"
"86987";"2021-06-02";"1";"24";;"47";"18";"80667";"1";"2";"0";"55895";;;"Activo";"yeselith.almanza@avipoulet.com";;"2021-06-02 12:56:44";"2021-06-02 12:56:44"
